,Pavadinimas,Ketvirtis,Vertė
0,Elektros energijos gamyba (Neto),2012-Q1,1.42
1,Šiluminės elektrinės,2012-Q1,0.969
2,Kruonio HAE,2012-Q1,0.131
3,Hidroelektrinės,2012-Q1,0.127
4,Vėjo elektrinės,2012-Q1,0.149
5,Kiti atsinaujinantys energijos ištekliai,2012-Q1,0.04
6,"     Elektrinės, kūrenamos biomase    ",2012-Q1,0.04
7,"     Elektrinės, kūrenamos biodujomis",2012-Q1,0.0
8,     Saulės energijos elektrinės,2012-Q1,0.0
9,     Atliekų deginimo elektrinės,2012-Q1,0.0
10,Baterijų technologijos,2012-Q1,0.0
11,Komercinis sistemos balansas (-Importas/+eksportas),2012-Q1,-1.628
12,Elektros energijos gamyba (Neto),2012-Q2,0.789
13,Šiluminės elektrinės,2012-Q2,0.414
14,Kruonio HAE,2012-Q2,0.113
15,Hidroelektrinės,2012-Q2,0.122
16,Vėjo elektrinės,2012-Q2,0.103
17,Kiti atsinaujinantys energijos ištekliai,2012-Q2,0.042
18,"     Elektrinės, kūrenamos biomase    ",2012-Q2,0.042
19,"     Elektrinės, kūrenamos biodujomis",2012-Q2,0.0
20,     Saulės energijos elektrinės,2012-Q2,0.001
21,     Atliekų deginimo elektrinės,2012-Q2,0.0
22,Baterijų technologijos,2012-Q2,0.0
23,Komercinis sistemos balansas (-Importas/+eksportas),2012-Q2,-1.751
24,Elektros energijos gamyba (Neto),2012-Q3,1.268
25,Šiluminės elektrinės,2012-Q3,0.908
26,Kruonio HAE,2012-Q3,0.129
27,Hidroelektrinės,2012-Q3,0.064
28,Vėjo elektrinės,2012-Q3,0.113
29,Kiti atsinaujinantys energijos ištekliai,2012-Q3,0.054
30,"     Elektrinės, kūrenamos biomase    ",2012-Q3,0.053
31,"     Elektrinės, kūrenamos biodujomis",2012-Q3,0.0
32,     Saulės energijos elektrinės,2012-Q3,0.001
33,     Atliekų deginimo elektrinės,2012-Q3,0.0
34,Baterijų technologijos,2012-Q3,0.0
35,Komercinis sistemos balansas (-Importas/+eksportas),2012-Q3,-1.429
36,Elektros energijos gamyba (Neto),2012-Q4,1.229
37,Šiluminės elektrinės,2012-Q4,0.745
38,Kruonio HAE,2012-Q4,0.141
39,Hidroelektrinės,2012-Q4,0.108
40,Vėjo elektrinės,2012-Q4,0.173
41,Kiti atsinaujinantys energijos ištekliai,2012-Q4,0.062
42,"     Elektrinės, kūrenamos biomase    ",2012-Q4,0.061
43,"     Elektrinės, kūrenamos biodujomis",2012-Q4,0.0
44,     Saulės energijos elektrinės,2012-Q4,0.001
45,     Atliekų deginimo elektrinės,2012-Q4,0.0
46,Baterijų technologijos,2012-Q4,0.0
47,Komercinis sistemos balansas (-Importas/+eksportas),2012-Q4,-1.811
48,Elektros energijos gamyba (Neto),2013-Q1,1.241
49,Šiluminės elektrinės,2013-Q1,0.757
50,Kruonio HAE,2013-Q1,0.126
51,Hidroelektrinės,2013-Q1,0.133
52,Vėjo elektrinės,2013-Q1,0.153
53,Kiti atsinaujinantys energijos ištekliai,2013-Q1,0.071
54,"     Elektrinės, kūrenamos biomase    ",2013-Q1,0.068
55,"     Elektrinės, kūrenamos biodujomis",2013-Q1,0.0
56,     Saulės energijos elektrinės,2013-Q1,0.003
57,     Atliekų deginimo elektrinės,2013-Q1,0.0
58,Baterijų technologijos,2013-Q1,0.0
59,Komercinis sistemos balansas (-Importas/+eksportas),2013-Q1,-1.809
